kommunenummer,komunenavn,lungekreft,smoke,snuff
301,Oslo,56,17.27%,20.15%
3001,Halden,66,17.77%,14.54%
3002,Moss,70,16.18%,14.38%
3003,Sarpsborg,73,17.61%,14.57%
3004,Fredrikstad,65,17.76%,14.37%
3005,Drammen,59,16.33%,14.66%
3006,Kongsberg,53,17.71%,14.60%
3007,Ringerike,56,17.69%,14.09%
3011,Hvaler,75,15.08%,14.43%
3012,Aremark,0,11.53%,10.12%
3013,Marker,47,14.49%,14.32%
3014,Indre Østfold,67,14.22%,14.98%
3015,Skiptvet,54,14.23%,15.12%
3016,Rakkestad,77,14.33%,14.59%
3017,Råde,60,13.82%,14.29%
3018,Våler (Viken),79,14.15%,15.23%
3019,Vestby,53,18.29%,22.12%
3020,Nordre Follo,52,19.54%,24.07%
3021,Ås,54,17.62%,25.64%
3022,Frogn,57,17.55%,20.56%
3023,Nesodden,46,18.48%,22.16%
3024,Bærum,41,16.95%,18.81%
3025,Asker,45,17.10%,17.24%
3026,Aurskog-Høland,71,22.88%,24.46%
3027,Rælingen,61,18.94%,23.18%
3028,Enebakk,67,19.16%,22.93%
3029,Lørenskog,66,17.42%,24.27%
3030,Lillestrøm,58,18.95%,23.40%
3031,Nittedal,61,18.67%,25.01%
3032,Gjerdrum,46,18.86%,22.37%
3033,Ullensaker,63,16.26%,26.08%
3034,Nes,63,18.74%,24.70%
3035,Eidsvoll,65,17.94%,25.45%
3036,Nannestad,82,20.44%,23.73%
3037,Hurdal,65,17.29%,21.26%
3038,Hole,59,13.92%,14.98%
3039,Flå,0,11.41%,6.65%
3040,Nesbyen,57,14.07%,14.59%
3041,Gol,41,13.60%,14.35%
3042,Hemsedal,0,11.23%,14.23%
3043,Ål,50,14.46%,14.29%
3044,Hol,30,13.30%,14.67%
3045,Sigdal,62,14.77%,14.83%
3046,Krødsherad,83,13.89%,15.36%
3047,Modum,60,14.54%,15.27%
3048,Øvre Eiker,58,13.98%,15.27%
3049,Lier,54,17.36%,14.54%
3050,Flesberg,35,14.05%,14.75%
3051,Rollag,0,10.95%,8.55%
3052,Nore og Uvdal,36,14.03%,14.64%
3053,Jevnaker,48,13.23%,14.41%
3054,Lunner,61,13.27%,13.91%
3401,Kongsvinger,64,13.59%,14.02%
3403,Hamar,58,21.59%,23.33%
3405,Lillehammer,49,22.17%,23.94%
3407,Gjøvik,51,22.05%,24.46%
3411,Ringsaker,55,22.44%,23.08%
3412,Løten,76,13.17%,14.52%
3413,Stange,68,22.08%,23.50%
3414,Nord-Odal,51,14.25%,13.79%
3415,Sør-Odal,56,13.88%,13.86%
3416,Eidskog,59,14.35%,13.46%
3417,Grue,53,14.08%,13.02%
